明細コード,年月,検索カナ,品名,YJコード,一般名称カナ,一般名称,単位,棚番１,棚番２,理論在庫,単価,在庫金額,不動月数,在庫金額順位,発注点,調整数,自動発注対象外,発注点有効,後発,未処方日数,薬剤備考,薬価,薬価在庫金額,前月末理論在庫,入庫数,入庫金額,処方出庫数,処方出庫金額,処方外出庫数,処方外出庫金額,在庫月数
228727,202606,ﾛｽﾊﾞｽﾀﾁﾝ,ロスバスタチン錠５ｍｇ「ＤＳＥＰ」,2189017F2037,ロスバスタチンカルシウムジョウ,ロスバスタチンカルシウム錠,錠,,,191,12.82,2449,,454,220,0,0,1,1,1,"",16.9,3228,276,100,1282,185,2372,0,0,0.23
228728,202606,ﾄｺﾌｪﾛｰﾙﾆｺﾁ,トコフェロールニコチン酸エステルカプセル１００ｍｇ「トーワ」,2190006M1210,トコフェロールニコチンサンエステルカプセル,トコフェロールニコチン酸エステルカプセル,カプセル,,,364,5.41,1969,,544,300,0,0,1,1,13,"",6.3,2293,324,100,541,60,325,0,0,6.07
228735,202606,ﾚﾊﾞﾐﾋﾟﾄﾞ,レバミピド錠１００ｍｇ「オーツカ」,2329021F1331,レバミピドジョウ,レバミピド錠,錠,,,978,8.7,8509,,146,1000,0,0,1,0,2,"",10.8,10562,1003,800,6960,825,7178,0,0,0.27
228749,202606,ｼﾞｴﾉｹﾞｽﾄ,ジエノゲスト錠１ｍｇ「サワイ」,2499010F1090,ジエノゲストジョウ,ジエノゲスト錠,錠,,,264,35.76,9441,2,124,180,0,0,1,1,67,"",48.2,12725,264,0,0,0,0,0,0,0
228782,202606,ﾐｸﾞﾘﾄｰﾙｵｰﾃ,ミグリトールＯＤ錠５０ｍｇ「サワイ」,3969009F4030,ミグリトールコウクウナイホウカイジョウ,ミグリトール口腔内崩壊錠,錠,,,305,9.81,2992,,405,180,0,0,1,1,6,"",10.8,3294,389,0,0,84,824,0,0,3.63
228796,202606,ﾓﾝﾃﾙｶｽﾄ,モンテルカスト細粒４ｍｇ「ＤＳＥＰ」,4490026C1048,モンテルカストナトリウムサイリュウ,モンテルカストナトリウム細粒,包,,,24,19.5,468,18,1029,0,0,0,0,1,547,"",16.9,406,24,0,0,0,0,0,0,0
228825,202606,ﾓﾝﾃﾙｶｽﾄﾁｭｱ,モンテルカストチュアブル錠５ｍｇ「ケミファ」,4490026F1176,モンテルカストナトリウムチュアブルジョウ,モンテルカストナトリウムチュアブル錠,錠,,,101,11.34,1145,,765,50,0,0,1,1,2,"",16.3,1646,131,0,0,30,340,0,0,1.68
228888,202606,ｶﾅﾘｱ,カナリア配合錠,3969106F1028,テネリグリプチンシュウカスイソサンエンスイワブツ・カナグリフロジンスイワブツハイゴウザイジョウ,テネリグリプチン臭化水素酸塩水和物・カナグリフロジン水和物配合剤錠,錠,,,203,164.22,33337,,23,150,0,0,1,0,6,"",196.8,39950,224,100,16422,90,14780,0,0,1.06
228891,202606,ｱﾒﾅﾘｰﾌ,アメナリーフ錠２００ｍｇ,6250046F1028,アメナメビルジョウ,アメナメビル錠,錠,,,46,1177.5,54165,23,11,0,0,0,0,0,696,"",1124.3,51718,46,0,0,0,0,0,0,0
228919,202606,ﾙﾊﾟﾌｨﾝ,ルパフィン錠１０ｍｇ,4490034F1022,ルパタジンフマルサンエンジョウ,ルパタジンフマル酸塩錠,錠,,,188,29.01,5454,,238,100,0,0,1,0,13,"",37.4,7031,130,100,2901,42,1218,0,0,0.9
228922,202606,ﾘｸｼｱﾅｵｰﾃﾞｨ,リクシアナＯＤ錠１５ｍｇ,3339002F4029,エドキサバントシルサンエンスイワブツコウクウナイホウカイジョウ,エドキサバントシル酸塩水和物口腔内崩壊錠,錠,,,98,156.68,15355,,71,90,0,0,1,0,2,"",180.3,17669,128,100,15668,130,20368,0,0,0.61
228923,202606,ﾘｸｼｱﾅｵｰﾃﾞｨ,リクシアナＯＤ錠３０ｍｇ,3339002F5025,エドキサバントシルサンエンスイワブツコウクウナイホウカイジョウ,エドキサバントシル酸塩水和物口腔内崩壊錠,錠,,,184,286.86,52782,,13,120,0,0,1,0,8,"",330.1,60738,204,100,28686,120,34423,0,0,0.56
228924,202606,ﾘｸｼｱﾅｵｰﾃﾞｨ,リクシアナＯＤ錠６０ｍｇ,3339002F6021,エドキサバントシルサンエンスイワブツコウクウナイホウカイジョウ,エドキサバントシル酸塩水和物口腔内崩壊錠,錠,,,113,290.68,32847,,24,90,0,0,1,0,2,"",334.5,37799,173,0,0,60,17441,0,0,0.66
229036,202606,ｲﾙﾍﾞｻﾙﾀﾝ,イルベサルタン錠５０ｍｇ「サワイ」,2149046F1104,イルベサルタンジョウ,イルベサルタン錠,錠,,,48.5,9.36,454,1,1034,20,0,0,1,1,31,"",10.8,524,31,0,0,0,0,0,0,2.77
